"t","date","y","yhat","error"
141,2020-05-20,6.79039933947044,5.54825185568439,1.24214748378604
142,2020-05-21,9.27549544479236,6.10248444347828,3.17301100131409
143,2020-05-22,9.32616608635322,8.02506813004474,1.30109795630848
144,2020-05-23,8.50300960164983,8.12038452983836,0.382625071811468
145,2020-05-24,8.74773307652806,7.5074712264382,1.24026185008986
146,2020-05-25,9.24666272013183,7.73439280442242,1.51226991570941
147,2020-05-26,8.65416730262818,8.17252124324442,0.481646059383767
148,2020-05-27,9.59100172952543,7.72629230830409,1.86470942122134
149,2020-05-28,11.1942193481765,8.5240642543786,2.67015509379787
150,2020-05-29,8.09091603375522,9.92427570304363,-1.83335966928841
151,2020-05-30,6.79264564901966,7.34857216903712,-0.555926520017461
152,2020-05-31,6.4852032190979,6.30673183665439,0.178471382443512
153,2020-06-01,5.75173334799764,6.06485893964474,-0.313125591647097
154,2020-06-02,5.43486721639512,5.47964697659218,-0.0447797601970601
155,2020-06-03,5.84133445014699,5.22795168992608,0.613382760220912
156,2020-06-04,9.35850205128762,5.55513251873942,3.80336953254821
157,2020-06-05,8.41977963847561,8.39685343997814,0.0229261984974727
158,2020-06-06,8.75962236904046,7.64713829005112,1.11248407898934
159,2020-06-07,9.26048969534316,7.9441424666599,1.31634722868327
160,2020-06-08,7.72169332981294,8.38098870238831,-0.659295372575363
161,2020-06-09,6.32539076865612,7.12179159068382,-0.796400822027706
162,2020-06-10,7.54583313245431,5.98697168844446,1.55886144400985
163,2020-06-11,9.17703055542767,6.98479961039216,2.19223094503552
164,2020-06-12,9.59423671394206,8.3411652064901,1.25307150745196
165,2020-06-13,9.94159796841511,8.71407673376592,1.22752123464919
166,2020-06-14,8.0365463677879,9.03451165645186,-0.997965288663963
167,2020-06-15,6.12468662496462,7.44381060464203,-1.31912397967741
168,2020-06-16,5.2502380333475,5.86486410995859,-0.614626076611092
169,2020-06-17,6.75124420796504,5.14811858371922,1.60312562424583
170,2020-06-18,8.69284569686306,6.38109806205477,2.31174763480829
171,2020-06-19,8.85056837832672,7.99244476237212,0.858123615954594
172,2020-06-20,8.56852894209125,8.13840524430945,0.430123697781804
173,2020-06-21,6.82186086878666,7.91458877641826,-1.09272790763161
174,2020-06-22,5.43885493031601,6.46290534599495,-1.02405041567894
175,2020-06-23,4.77664700284702,5.32194678210274,-0.54529977925572
176,2020-06-24,5.83566630259417,4.77694538249935,1.05872092009482
177,2020-06-25,8.11827724782329,5.6492134463294,2.46906380149389
178,2020-06-26,9.1663284646801,7.53641006471966,1.62991839996044
179,2020-06-27,7.44168259057813,8.42375129137945,-0.982068700801315
180,2020-06-28,8.46608509395989,6.98751335078059,1.4785717431793
181,2020-06-29,7.69597183154989,7.8473764629335,-0.151404631383617
182,2020-06-30,5.82100202985135,7.21067942227364,-1.38967739242229
183,2020-07-01,8.70635288063772,5.65618173955979,3.05017114107793
184,2020-07-02,11.0833525745962,8.04740761410855,3.0359449604876
185,2020-07-03,11.9146145629415,10.0735242522934,1.84109031064804
186,2020-07-04,9.21457396886422,10.8348071310519,-1.62023316218772
187,2020-07-05,7.72987716823857,8.52186422355035,-0.791987055311777
188,2020-07-06,6.36221586452252,7.27631296205176,-0.914097097529241
189,2020-07-07,6.66425574338156,6.13476502168453,0.529490721697026
190,2020-07-08,9.59551331030517,6.38826675564687,3.2072465546583
191,2020-07-09,10.7727736321132,8.84818109123239,1.92459254088085
192,2020-07-10,10.9378259577572,9.8724546298013,1.06537132795589
193,2020-07-11,9.09367601225136,10.0407457372839,-0.947069725032533
194,2020-07-12,9.48087600160294,8.46750843834703,1.01336756325591
195,2020-07-13,9.80771609369537,8.80880190899919,0.998914184696178
196,2020-07-14,8.15401005424032,9.10189993739902,-0.947889883158702
197,2020-07-15,9.11821626069614,7.69255888187644,1.4256573788197
198,2020-07-16,10.4116669055823,8.52129309770102,1.89037380788126
199,2020-07-17,10.8749677511413,9.64665730295182,1.22831044818951
200,2020-07-18,9.43316103151389,10.0683403738753,-0.635179342361397
